Place,Name
1,Celeste Alden
2,Molly Moening
3,Anna Schmidt
4,Maggie Mohata
5,Alexis Mullen
6,Maeve Moening
7,Caroline Harding
8,Jenny Haus
9,Naomi Ohman
10,Claire Weissman
11,Rayna Axelson
12,Loretta-Rose Wacek
13,Lauren Mendoza
14,Megan Beulke
15,Silja Earl-Tornainen
16,Saylor Landrum
17,Ellie Egbert
18,Kaia Hilgendorf-Roost
19,Addie Fabel
20,Sonja Squiers
21,Margaret Dalseth
22,Avalon Johnson
23,Mary Ostergren
24,Elsa Soderstrom
25,Rachel Poppleton
26,Quincy Shelp
27,Nora Barnard
28,Flannery Meekin

1,Ben Earl-Moseley
2,Nat Alden
3,Simon Brooks
4,Otto Schmidt
5,Charlie Reinhardt
6,Ed Shaw
7,Ian Boylan
8,Eli Sage-Martinson
9,Kevin Cornelius
10,Leland Johnson
11,Calvin Boone
12,Matthew Humbert
13,Aidan Finnegan
14,Andrew Abegglen
15,Cole Johnson
16,Tyler Franck
17,Josip Temali
18,Conor Gregg-Escalante
19,Antero Sivula
20,Elliot Norton-Bower
21,Eli Pattison
22,Noah Johnson
23,Jackson Lee
24,Kade Retterath
25,Gabe Reynolds
26,Leif Saveraid
27,Joe Woychick
28,Henry Jaffray
29,Angelo Fiataruolo
30,Alistair Pattison
