Place,Name
1,Triana Willmert
2,Kasia Bednarski
3,Sudie Hall
4,Emily Kompelien
5,Ellen Pflaster
6,Etta Leugers
7,Zoe Camp
8,Katy Scott
9,Kayla Bovitz
10,Maggie Mahota
11,Lily Richmond
12,Liesl Paulsen
13,Rachael Boelke
14,Claire Wagner
15,Lily Song
16,Olivia Anderson
17,Alex Harmdierks
18,Sadie Schreiner
19,Kareena Bovitz
20,Abby Mans
21,Maddie Lawler
22,Ella Endo
23,Gillian Leugers
24,Megan Beulke
25,Sophia Truempi
26,Gillian Bode
27,Anika Sather
28,Elizabeth Honey
29,Caitlin O'Donnell
30,Miranda Gilbertson
31,Cally Ryan
32,Ann Lee
33,Phoebe Schwartz
34,Sarah Rinnman
35,Anya Healy
36,Kate Dwyer
37,Sophia Hicks
38,Allie Gross
39,Jaden Neal
40,Alison Rosengren
1,Henry Hall
2,Torsten Brinkema
3,Pj Rubin
4,Victor Sparks
5,Ben Perry
6,Luke MacKinnon
7,David De Jong
8,Nick Scheller
9,August Blanchett
10,Owen Gage
11,Charlie Grabow
12,Lucas Schnirring
13,Jacob Rochell-Share
14,Thomas Atwood
15,Austin Morrow
16,Eric Wurst
17,Macallister Karrick
18,Zav Breen
19,Nicholas Gordon
20,Per Alexander
21,Peter Oviguian
22,Aiden St. George
23,Elan Rochell-Share
24,Will Steiner
25,Matt Clarke
26,Nathan Claver
27,Adam Wetmore
28,William Munnich
29,Zach Long
30,Sam Henke
31,Thomas Graupmann
32,Tyler Franck
33,Anders Carlson
34,Jon Clarke
35,Matthew Egger
36,Derek Wendland
37,Nico Alexander
38,Ben Skinner
39,Isaac Lowenthal Walsh
40,Lenny Chen
41,Dylan Green
42,Joel Schaefer
43,Davis Jackson
44,Colden Longley
45,Nathan Milligan
