Long Course,5km Freestyle at Phalen,,
Place,Name,School,Time
1,Rana Kraftson,STW,15:03:00
2,Regan Duffy,Forest Lake,15:23:00
3,Jenna Parent,Forest Lake,15:34:00
4,Amelea Hauer,Forest Lake,15:42:00
4,Libby Tuttle,STW,15:42:00
6,Emma Albrecht,STW,15:43:00
7,Samantha Kurkowski,Ros,15:44:00
7,Sydney Peterson,STW,15:44:00
9,Hannah Brown,STW,15:45:00
10,Olivia Schwintek,WBL,15:51:00
11,"Emily Manning, 12",Irondale,17:03:00
12,"Claire DuBois, 12",Irondale,17:12:00
13,Bethany Olson,STW,17:19:00
14,Anna Stockinger,Forest Lake,17:25:00
15,Lauren Loppnow,WBL,17:29:00
16,Louisa Ward,STW,18:02:00
17,Britt Harrison,ER,18:02:00
18,Frances Ryan,Ros,18:05:00
19,Isabel Bibeau,Ros,18:06:00
20,Clare Larson,WBL,18:09:00
21,"Zella Fruzyna, 11",Irondale,18:12:00
21,Jordan Parent,Forest Lake,18:27:00
23,Maddy Koltun,STW,18:27:00
24,"Kaisa Stolen, 9",Irondale,18:29:00
25,Sydney Menne,MV,18:38:00
26,Kathrine Gottwaldt,Irondale,18:42:00
26,Tiffany Holiday,PWER,18:45:00
28,Gabby Olson,MV,18:49:00
29,Madison Loppnow,WBL,18:49:00
30,Eleasha Mckenzie,ER,18:49:00
31,Emily Laabs,STW,18:57:00
32,Ashley Nelson,Ros,19:02:00
33,Haley Orf,PWER,19:02:00
34,Jenna Stockinger,Forest Lake,19:09:00
35,Samantha Nelson,Ros,19:12:00
36,Ina Poecher,MV,19:13:00
37,Kendra Besser,ER,19:14:00
38,Amelia Lehmann,STW,19:17:00
39,Piper Wilson,STW,19:21:00
40,Annabelle Stang,Forest Lake,19:23:00
41,Josephine Ramirez,STW,19:24:00
42,Grace Johnson,Forest Lake,19:27:00
43,Bijou Acers,STW,19:30:00
44,Ella Niznik,Forest Lake,19:32:00
45,"Ingrid Holmquist, 11",Irondale,19:35:00
46,"Elizabeth VanLoon, 8",Irondale,19:41:00
46,Ally Moseley,Ros,19:42:00
48,Emily Brockberg,WBL,19:45:00
49,Emma Bourne,STW,19:46:00
50,"Dasha Fruzyna, 9",Irondale,19:54:00
51,"Susan Schuh, 11",Irondale,20:03:00
52,Aurora Weirens,MV,20:03:00
53,Lindsey Moseley,Ros,20:05:00
54,Anah Flor,STW,20:06:00

55,Margaret Swenson,STW,20:24:00
56,Anna Weaver,STW,20:31:00
57,Winter AnderJohn,Ros,20:44:00
58,Ella Grace,STW,20:48:00
59,Abi Weaver,STW,20:50:00
60,"Kari McKay, 10",Irondale,20:51:00
61,Josie Moor,WBL,20:54:00
62,Amelia Podolny,MV,21:06:00
63,Cleo Haugen,STW,21:10:00
64,"Sarah Heuss, 10",Irondale,21:15:00
65,Maya Strike,MV,21:16:00
66,Sophia Pfluger,ER,21:20:00
67,"Antonia Arendse, 12",Irondale,21:43:00
68,Kaia Goldenman,Ros,21:57:00
69,Heidi Rogers,PWER,21:58:00
70,Laurel Watters,PWER,22:09:00
71,Anika Klund,PWER,22:10:00
72,Shelby Olson,MV,22:11:00
73,Mary Kenney,ER,22:17:00
74,Mairin Torgerson,STW,22:26:00
75,Sarah Miller,MV,22:34:00
76,Erika Harrison,ER,22:36:00
77,Grace Anderson,ER,22:39:00
78,Maria Stockinger,Forest Lake,22:41:00
79,Bella Carpentier,ER,22:41:00
80,"Mackenzie Martin, 9",Irondale,22:59:00
81,Ava Granlund,PWER,23:15:00
82,Elizabeth Landherr,STW,23:25:00
83,Ava Larson,ER,23:32:00
84,Elin Harrison,ER,23:33:00
85,Madeline Watters,PWER,23:34:00
86,"Laura Hardwick, 10",Irondale,23:45:00
87,Petra Bibeau,Ros,23:57:00
88,Amara Jackson,Ros,23:58:00
89,Allison Krish,ER,24:01:00
90,"Hanna Teff, 9",Irondale,24:08:00
91,Emma Kromer,STW,24:13:00
92,Lindee hermes,STW,24:19:00
93,Emma Snell,MV,24:20:00
94,"Elsa Osmond, 10",Irondale,24:29:00
95,Abbie Garness,STW,25:01:00
96,Pinty Nidersson,STW,25:08:00
97,Lizzy Smitten,STW,25:10:00
98,Amanda Michaud,PWER,25:11:00
99,Alexis Witter,STW,25:20:00
100,Josie Haugen,STW,25:27:00
101,Lily Ward,STW,25:28:00
102,Bree Sheridan,STW,25:30:00
103,Allison Shore,STW,25:32:00
104,Kyleigh Mullin,PWER,25:33:00
105,"Sibley Boyum, 8",Irondale,25:43:00
106,Megan Puhrmann,STW,25:50:00
107,Tatum Geving,ER,26:05:00
108,Libby Kryzer,STW,26:11:00
109,Laura Guck,Ros,26:52:00

110,"Kaylea Nelson, 11",Irondale,27:13:00
111,Grace Weitzel,STW,27:38:00
112,Amilie Hansen,STW,27:59:00
113,Olivia Lingert,ER,28:08:00
114,"Katie Payne, 9",Irondale,28:24:00
115,Emelia Kostecki,Ros,29:14:00
116,Emily Poor,ER,29:28:00
117,"Amelia Aplikowski, 11",Irondale,29:55:00
118,Leah Cosgrove,STW,30:47:00
119,"Claire O'Leary, 9",Irondale,30:50:00
120,Kayley Pockrant,PWER,32:29:00
121,Anna Hagel,PWER,32:30:00
122,Claire Danielson,STW,32:46:00
123,McKenna Barrows,MV,34:28:00
124,Lauren Guinee,STW,34:36:00
125,Anna Kneeskern,STW,34:43:00
126,Mint Khamleart,STW,36:04:00
127,Ava Lipetsky,STW,36:32:00
128,Abby,WBL,38:05:00
129,Jessica Peterson,MV,39:55:00
130,Jia Wen Ding,STW,41:30:00
131,KLynzy,WBL,42:02:00
132,Elena Pleitez,Forest Lake,42:12:00
133,Cheyenne Nelson,PWER,43:52:00
134,Christy,WBL,46:47:00
135,Skylar Fields,PWER,56:13:00

Long Course,5km Freestyle at Phalen,,
Place,Name,School,Time
1,Spencer Kotys,Forest Lake,14:07:00
2,Carl Bohacek,STW,14:08:00
3,Caden Albrecht,STW,14:12:00
3,Nick Parent,Forest Lake,14:16:00
3,Ben Wicklund,STW,14:19:00
